baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000018920.11	363.467470651241	3.70239367426947	0.1639182803135	22.5868259915154	5.83954286484929e-113	1.89389561171596e-110
ENSMUSG00000021118.7	399.462045279334	5.28706593798113	0.2351877319609	22.4801944127771	6.48547379575813e-112	2.06999852516039e-109
ENSMUSG00000030513.14	1227.64139613623	2.47353040981595	0.110073074971538	22.4717117283727	7.85065701033327e-112	2.46657829943408e-109
ENSMUSG00000042377.8	350.229991541639	4.34394363108784	0.19351152902884	22.4479836053615	1.33909562591124e-111	4.14254382243433e-109
ENSMUSG00000020435.17	376.582031435839	4.64754589561101	0.207610771733531	22.3858610842031	5.40514093957283e-111	1.64676627292319e-108
ENSMUSG00000084128.10	455.503901523335	4.29448356196068	0.192037535722203	22.3627300038519	9.07861718748264e-111	2.72466917023733e-108
ENSMUSG00000002799.6	445.821950488927	4.57606488749379	0.207301176034834	22.0744762524881	5.56047749841331e-108	1.64426590497198e-105
ENSMUSG00000026380.10	349.703954357426	4.88232784762355	0.221696344059167	22.0225907122787	1.74969698786589e-107	5.09897203362426e-105
ENSMUSG00000044017.16	438.26393360102	6.25973125705995	0.286326550117511	21.8622103136817	5.94926454274003e-106	1.70896873464881e-103
ENSMUSG00000068876.16	633.89304578288	7.56669312755918	0.346688044331555	21.825653498229	1.32431282702855e-105	3.75060314449157e-103
ENSMUSG00000025813.14	498.502844198592	3.09678249301441	0.142000498274439	21.808250890989	1.93742525125679e-105	5.4107981878155e-103
ENSMUSG00000024011.17	380.261033506467	5.16741161535516	0.237086109303285	21.7955055677468	2.55950543407502e-105	7.05021031073705e-103
ENSMUSG00000037411.10	7312.70244580376	-2.11272004372	0.0969391136182374	-21.7942991725739	2.62784057968076e-105	7.1406241048947e-103
ENSMUSG00000038732.15	746.605459348068	2.98811862441566	0.138098670376158	21.6375625940244	7.96013034955606e-104	2.13416401425164e-101
ENSMUSG00000026110.15	400.937741999693	3.48232841498911	0.161174651869745	21.6059310480372	1.5797179512943e-103	4.17960112692445e-101
ENSMUSG00000056724.15	627.343471116291	3.20052020866445	0.14859076972042	21.5391589577627	6.69106006906086e-103	1.74732254374904e-100
ENSMUSG00000044041.4	962.333203632218	8.68922606867293	0.404120654981152	21.5015638561661	1.50529198477382e-102	3.88056554228615e-100
ENSMUSG00000063727.3	1654.63109336396	-2.42160793377476	0.112916280472036	-21.446047670464	4.97141686846969e-102	1.26538291634416e-99
ENSMUSG00000033987.16	751.910699134742	4.69044844848839	0.219395171628967	21.3789957803662	2.0959098756011e-101	5.26806947232335e-99
ENSMUSG00000003526.12	343.811924461223	4.923127167656	0.230670265818168	21.3427038382866	4.55810113172089e-101	1.13153453773634e-98
ENSMUSG00000033644.5	531.946402644679	7.24114322370872	0.341588264411201	21.1984543327048	9.8684574982626e-100	2.41993833384225e-97
ENSMUSG00000022665.15	15843.8454136791	-1.66578775529668	0.0786468102760033	-21.1806143116391	1.44140512924228e-99	3.49202100467515e-97
ENSMUSG00000003279.17	465.762055174861	6.63007829817455	0.313351646041861	21.1585877461414	2.30008922156805e-99	5.50597548420123e-97
ENSMUSG00000044646.15	626.11567443086	3.28203467399099	0.156087204244284	21.0269297209939	3.7195694060679e-98	8.79918842555451e-96
ENSMUSG00000022055.7	421.842126084565	5.5758598735548	0.265493795618371	21.0018462411442	6.30857725233695e-98	1.47503338825571e-95
ENSMUSG00000023043.7	431.345839528792	6.15229910023223	0.293888814064253	20.9341043476638	2.61941663274425e-97	6.0541643277266e-95
ENSMUSG00000041439.15	887.370413076675	2.84969017324945	0.136149965341396	20.9305244118414	2.82372865112007e-97	6.45221996780937e-95
ENSMUSG00000000308.14	361.174770911741	6.06340869984751	0.292389602802132	20.737429244195	1.59210082088766e-95	3.59707452881002e-93
ENSMUSG00000016028.11	379.498814599472	6.33169444183181	0.305608166423202	20.71834177711	2.36697760560028e-95	5.28835396593449e-93
ENSMUSG00000057963.9	694.721547684619	3.18853970619258	0.154420651424493	20.6484021196587	1.00902300953889e-94	2.22960820613275e-92
ENSMUSG00000017861.11	452.355048421927	3.31912065368193	0.161066723697076	20.6071159671958	2.36934971840482e-94	5.17857436279175e-92
ENSMUSG00000029832.16	323.814167957776	4.90319736810417	0.238213975688087	20.5831641654994	3.8847701204389e-94	8.39945780449306e-92
ENSMUSG00000021678.9	343.250260211268	4.20983546456437	0.204707171598005	20.5651586688495	5.63153960670643e-94	1.20467019586865e-91
ENSMUSG00000024812.11	1849.15910574655	2.05014859500008	0.0998364218406936	20.5350768507253	1.04648785436843e-93	2.2150292395411e-91
ENSMUSG00000028179.12	527.645892314726	3.04538900522777	0.14833582793659	20.5303671243174	1.15300486535974e-93	2.41506477423475e-91
ENSMUSG00000030353.15	644.885591153705	2.66389930908164	0.129772183577664	20.5275062470332	1.22291937954582e-93	2.53509926638219e-91
ENSMUSG00000025582.4	424.895251699219	3.10592993456774	0.151436793335628	20.5097444693252	1.76217664377915e-93	3.61569877072563e-91
ENSMUSG00000030093.7	368.915005934176	6.51655790124106	0.319208356741503	20.4147471819424	1.236695848783e-92	2.51186667952814e-90
ENSMUSG00000041362.17	459.45769375504	3.38082825412503	0.165666335689969	20.4074547797808	1.43568878463387e-92	2.88688300814178e-90
ENSMUSG00000071847.13	976.175837949697	2.16974485621666	0.107269083511956	20.2271221602712	5.65060640230345e-91	1.12497419344077e-88
ENSMUSG00000053030.11	715.518194932617	8.16011051490305	0.403803637492006	20.2081154235878	8.30592725474178e-91	1.63740769841517e-88
ENSMUSG00000022865.14	1017.89822843011	3.41242882912587	0.169244557112258	20.1627094386406	2.08165107515643e-90	4.06386794361606e-88
ENSMUSG00000039457.4	325.366383838289	3.87491650413952	0.19236345307744	20.1437250275373	3.05474386372143e-90	5.8643364739763e-88
ENSMUSG00000102752.1	291.652852855636	4.09677228435626	0.203378320819126	20.1436036439681	3.06224054986827e-90	5.8643364739763e-88
ENSMUSG00000029154.13	732.126877587491	8.29203294001202	0.412303033899533	20.111501149013	5.85255710468502e-90	1.11021904019817e-87
ENSMUSG00000028128.13	1790.74381156622	-2.08946064906362	0.103915920350974	-20.10722362855	6.37962016551006e-90	1.19889161016894e-87
ENSMUSG00000022346.16	4842.32394579375	2.52476903552626	0.125939111433983	20.047537312106	2.12087045742931e-89	3.94874658870264e-87
ENSMUSG00000022102.13	303.630092949309	5.63759633788044	0.281438925548873	20.031331227142	2.93701013581276e-89	5.41811007439661e-87
ENSMUSG00000021182.16	302.524144999806	4.03015574060617	0.201586976866151	19.9921433579615	6.44663333766466e-89	1.1784445741251e-86
ENSMUSG00000028434.12	984.577524151912	2.52762745975532	0.126704511225907	19.948993412308	1.5293638348383e-88	2.77049080999356e-86
ENSMUSG00000042216.13	360.202547091209	3.3407551919587	0.167517173787644	19.9427623832387	1.7322931403602e-88	3.11008486306812e-86
ENSMUSG00000019996.17	303.58867851129	4.80509347063518	0.241074293975569	19.932002667701	2.14792788634168e-88	3.82217114500517e-86
ENSMUSG00000029449.11	351.101510708603	3.84164914248793	0.193268581673238	19.8772563508697	6.4041452623026e-88	1.12960134152966e-85
ENSMUSG00000085925.3	338.059975339534	3.27189295226112	0.165079873293659	19.8200597503535	1.99871273599992e-87	3.49479266917272e-85
ENSMUSG00000024965.9	348.981861584663	5.42019756634875	0.273740504317461	19.8004952897393	2.947812462419e-87	5.10988043054493e-85
ENSMUSG00000031075.19	2030.20411854815	1.83818453307421	0.0937041437156485	19.6168969715182	1.10920655086979e-85	1.90631840383672e-83
ENSMUSG00000028954.11	2684.51289156854	1.81334537104336	0.092807459663761	19.5387889897328	5.13869835355093e-85	8.75669038077985e-83
ENSMUSG00000092586.8	2363.34691062683	10.987622820224	0.563419939873045	19.5016577203495	1.06281147027538e-84	1.79588344910062e-82
ENSMUSG00000026638.15	451.512164128787	7.31021033484154	0.379911348126062	19.2418846420346	1.65095137214377e-82	2.7664441825889e-80
ENSMUSG00000027456.8	288.32950088707	5.87952671020642	0.305812532170406	19.2259181416745	2.2462799647325e-82	3.73290888684638e-80
ENSMUSG00000044737.6	429.382534911919	7.15534952480432	0.372414879734677	19.2133824779022	2.86009637033458e-82	4.71400146022031e-80
ENSMUSG00000025481.12	243.77031230606	4.57710161821391	0.239203845782851	19.1347325676737	1.29743340688666e-81	2.12103991428267e-79
